,Longitude,Latitude,Cost for two,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Aggregate rating
0,121.027535,14.565443,88.0,1,0,0,0,4.8
1,121.014101,14.553708,96.0,1,0,0,0,4.5
2,121.056831,14.581404,320.0,1,0,0,0,4.4
3,121.056475,14.585318,120.0,0,0,0,0,4.9
4,121.057508,14.58445,120.0,1,0,0,0,4.8
5,121.056314,14.583764,80.0,0,0,0,0,4.4
6,120.9796667,14.53133333,160.0,1,0,0,0,4.0
7,120.9793333,14.54,160.0,1,0,0,0,4.2
8,120.98009,14.55299,480.0,1,0,0,0,4.9
9,121.056532,14.572041,88.0,1,0,0,0,4.8
10,121.057916,14.567689,64.0,0,0,0,0,4.9
11,121.06082,14.570849,72.0,1,0,0,0,4.2
12,121.075419,14.649503,64.0,0,0,0,0,4.8
13,121.0335917,14.59345,80.0,1,0,0,0,4.2
14,121.03811,14.59889,56.0,0,0,0,0,4.3
15,121.05704,14.237082,64.0,0,0,0,0,3.6
16,121.0565874,14.23767897,68.0,0,0,0,0,4.0
17,120.951589,14.101834,96.0,1,0,0,0,4.5
18,121.045878,14.55436,48.0,0,0,0,0,4.5
19,121.04622,14.549337,120.0,1,0,0,0,4.4
20,121.053725,14.545858,240.0,1,0,0,0,4.7
21,121.0534998,14.54565535,144.0,1,0,0,0,4.5
22,-47.88178889,-15.76414167,10.6315,0,0,0,0,3.0
23,-47.88266667,-15.7775,5.799,0,0,0,0,3.8
24,-47.88213611,-15.75747222,8.6985,0,0,0,0,3.7
25,-47.88816667,-15.75883333,11.598,0,0,0,0,3.8
26,-47.91566667,-15.83116667,9.665,0,0,0,0,3.2
27,-47.91566667,-15.831,15.464,0,0,0,0,3.1
28,-47.9075,-15.82,17.397,0,0,0,0,3.7
29,-47.91016667,-15.82733333,38.66,0,0,0,0,3.7
30,-47.89016667,-15.797,5.799,0,0,0,0,3.2
31,-47.92366667,-15.83133333,28.995,0,0,0,0,4.1
32,-48.019,-15.83716667,19.33,0,0,0,0,3.1
33,-48.01909167,-15.839775,11.598,0,0,0,0,3.6
34,-48.01666667,-15.83483333,19.33,0,0,0,0,4.3
35,-47.889,-15.7865,44.459,0,0,0,0,4.2
36,-47.872359,-15.860621,19.33,0,0,0,0,3.6
37,-47.95628333,-15.83451389,28.995,0,0,0,0,4.0
38,-47.87283333,-15.82566667,46.392,0,0,0,0,3.2
39,-47.8685,-15.819,44.459,0,0,0,0,4.9
40,-47.885812,-15.720118,67.655,0,0,0,0,3.3
41,-47.92102778,-15.79753056,9.665,0,0,0,0,3.6
42,-43.377,-23.0115,27.062,0,0,0,0,4.0
43,-43.178826,-22.905293,19.33,0,0,0,0,4.8
44,-43.18669167,-22.97207222,11.598,0,0,0,0,4.7
45,-43.17583333,-22.96216667,17.397,0,0,0,0,4.5
46,-43.176,-22.96516667,32.861,0,0,0,0,4.2
47,-43.191,-22.98683333,11.598,0,0,0,0,4.8
48,-43.227042,-22.973507,19.33,0,0,0,0,4.9
49,-43.211425,-22.98520833,17.397,0,0,0,0,4.6
50,-43.203,-22.98533333,23.196,0,0,0,0,4.9
51,-43.20520833,-22.98531944,32.861,0,0,0,0,4.6
52,-43.219563,-22.966647,17.397,0,0,0,0,4.3
53,-43.34879167,-22.99991111,28.995,0,0,0,0,4.0
54,-43.227,-22.98416667,48.325,0,0,0,0,4.6
55,-43.22566667,-22.98516667,23.196,0,0,0,0,4.4
56,-43.17279167,-22.963925,7.732,0,0,0,0,4.2
57,-43.17126389,-22.96337222,48.325,0,0,0,0,4.2
58,-43.341164,-22.870413,13.531,0,0,0,0,3.2
59,-43.18736944,-22.92481389,57.99,0,0,0,0,4.7
60,-43.21551111,-22.91370833,16.4305,0,0,0,0,4.6
61,-43.16266667,-22.94783333,15.464,0,0,0,0,4.3
62,-46.64516667,-23.55066667,48.325,0,0,0,0,4.5
63,-46.64633333,-23.559,48.325,0,0,0,0,4.4
64,-46.65866667,-23.55616667,13.531,0,0,0,0,3.1
65,-46.657523,-23.55671,19.33,0,0,0,0,4.1
66,-46.666851,-23.581688,57.99,0,0,0,0,4.8
67,-46.67511,-23.582135,23.196,0,0,0,0,4.6
68,-46.683888,-23.585324,14.4975,0,0,0,0,3.9
69,-46.67566667,-23.581,10.6315,0,0,0,0,3.2
70,-46.666041,-23.561568,38.66,0,0,0,0,3.4
71,-46.657418,-23.571638,23.196,0,0,0,0,3.5
72,-46.66983333,-23.5655,57.99,0,0,0,0,4.3
73,-46.67133333,-23.59233333,44.459,0,0,0,0,3.9
74,-46.68133333,-23.56483333,23.196,0,0,0,0,4.3
75,-46.64159444,-23.54664167,28.995,0,0,0,0,4.3
76,-46.643425,-23.545163,77.32,0,0,0,0,4.4
77,-46.63716667,-23.5995,12.5645,0,0,0,0,3.2
78,-46.698574,-23.622925,9.665,0,0,0,0,3.2
79,-46.581672,-23.486535,19.33,0,0,0,0,4.4
80,-46.63566667,-23.58516667,13.531,0,0,0,0,4.6
81,-46.746958,-23.609207,23.196,0,0,0,0,4.1
82,-84.221535,31.610387,25.0,0,0,0,0,3.3
83,-84.207095,31.608743,10.0,0,0,0,0,3.3
84,-84.154,31.5772,0.0,0,0,0,0,3.4
85,-84.2194,31.6158,0.0,0,0,0,0,3.4
86,-84.206944,31.622412,10.0,0,0,0,0,3.4
87,-84.1759,31.5882,0.0,0,0,0,0,3.4
88,-84.2193,31.616,10.0,0,0,0,0,3.5
89,-84.2091458,31.6155186,10.0,0,0,0,0,3.9
90,-84.205718,31.604905,25.0,0,0,0,0,3.7
91,-84.223278,31.612121,70.0,0,0,0,0,3.5
92,-84.2191,31.6156,25.0,0,0,0,0,3.6
93,-84.212,31.6104,10.0,0,0,0,0,3.8
94,-84.1534,31.5751,10.0,0,0,0,0,3.9
95,-84.2228,31.6077,25.0,0,0,0,0,3.5
96,-84.2229,31.6185,25.0,0,0,0,0,3.5
97,-84.2164,31.6137,40.0,0,0,0,0,3.6
98,-84.2233,31.6118,40.0,0,0,0,0,3.5
99,-84.205025,31.605882,40.0,0,0,0,0,3.8
100,-84.1757,31.5985,10.0,0,0,0,0,3.7
101,-83.8389,31.5308,10.0,0,0,0,0,3.4
102,151.6688792,-30.5147169,20.0,0,0,0,0,3.5
103,-83.378273,33.957999,40.0,0,0,0,0,4.5
104,-83.3654,33.9535,10.0,0,0,0,0,4.5
105,-83.4293,33.9652,10.0,0,0,0,0,4.6
106,-83.3389,33.9259,10.0,0,0,0,0,3.9
107,-83.375523,33.958198,10.0,0,0,0,0,3.7
108,-83.384004,33.959392,10.0,0,0,0,0,4.3
109,-83.3797,33.9584,10.0,0,0,0,0,4.2
110,-83.373596,33.958112,25.0,0,0,0,0,4.0
111,-83.33995,33.924275,25.0,0,0,0,0,4.1
112,-83.3872482,33.9415545,40.0,0,0,0,0,4.3
113,-83.381625,33.960112,10.0,0,0,0,0,4.2
114,-83.400887,33.963296,10.0,0,0,0,0,4.1
115,-83.4075,33.9584,40.0,0,0,0,0,4.1
116,-83.379251,33.957503,25.0,0,0,0,0,4.2
117,-83.383605,33.960571,10.0,0,0,0,0,4.1
118,-83.37967,33.959468,40.0,0,0,0,0,4.1
119,-83.38728,33.937502,10.0,0,0,0,0,4.4
120,-83.3764,33.9584,10.0,0,0,0,0,4.4
121,-83.378881,33.958363,25.0,0,0,0,0,4.2
122,-83.3828224,33.9600227,10.0,0,0,0,0,4.1
123,-82.0865,33.4721,40.0,0,0,0,0,4.6
124,-82.0698,33.4791,40.0,0,0,0,0,4.9
125,-81.97,33.4765,25.0,0,0,0,0,4.5
126,-81.9684,33.474,10.0,0,0,0,0,3.9
127,-81.973006,33.477444,25.0,0,0,0,0,3.9
128,-81.965571,33.481779,40.0,0,0,0,0,3.8
129,-82.0327,33.4086,25.0,0,0,0,0,3.5
130,-81.974944,33.478231,40.0,0,0,0,0,4.3
131,-82.096,33.4827,25.0,0,0,0,0,4.1
132,-81.9721,33.4778,25.0,0,0,0,0,4.4
133,-81.9694,33.4764,10.0,0,0,0,0,4.0
134,-82.0505,33.5133,25.0,0,0,0,0,4.0
135,-82.0301,33.4848,40.0,0,0,0,0,4.2
